fullCate,alterCate,group
12342940,42940,12
12347916,47916,12
12315745,15745,12
12343016,43016,12
12343117,43117,12
12347930,47930,12
12343040,43040,12
12345013,45013,12
12218567,18567,12
12218137,18137,12
12342934,42934,12
12343055,43055,12
12345014,45014,12
12329146,29146,12
12343019,43019,12
12315779,15779,12
12343021,43021,12
123724,724,12
12347931,47931,12
12346941,46941,12
12343032,43032,12
12328285,28285,12
12315778,15778,12
12343031,43031,12
12346943,46943,12
12343041,43041,12
12346791,46791,12
12342141,42141,12
12347929,47929,12
12343045,43045,12
12345681,45681,12
12329145,29145,12
12242032,42032,12
123720,720,12
12342140,42140,12
12321133,21133,12
12343035,43035,12
12343044,43044,12
122516,516,12
12318138,18138,12
12210596,10596,12
12315593,15593,12
12347891,47891,12
12334876,34876,12
12315780,15780,12
122514,514,12
12315740,15740,12
123727,727,12
12326171,26171,12
12215728,15728,12
12229132,29132,12
12318764,18764,12
12344247,44247,12
12349708,49708,12
12315764,15764,12
12343043,43043,12
12343029,43029,12
122515,515,12
12237424,37424,12
12344412,44412,12
12215709,15709,12
12329143,29143,12
12343048,43048,12
12343620,43620,12
12345686,45686,12
12247913,47913,12
12340480,40480,12
1235157,5157,12
12237425,37425,12
12347915,47915,12
12346940,46940,12
12318148,18148,12
12318433,18433,12
12345680,45680,12
12336090,36090,12
12346614,46614,12
12318434,18434,12
12347156,47156,12
12347844,47844,12
12237438,37438,12
12319314,19314,12
12342144,42144,12
12312658,12658,12
12344820,44820,12
12347897,47897,12
12315592,15592,12
12321093,21093,12
12318426,18426,12
12347843,47843,12
12315602,15602,12
12321067,21067,12
12240455,40455,12
12337390,37390,12
12344990,44990,12
12347917,47917,12
12342942,42942,12
12346965,46965,12
12342143,42143,12
12319316,19316,12
12349710,49710,12
12334060,34060,12
12320327,20327,12
12318763,18763,12
12336091,36091,12
122577,577,12
122579,579,12
12337410,37410,12
12336087,36087,12
12346797,46797,12
12343920,43920,12
12345019,45019,12
12321069,21069,12
12340443,40443,12
12214026,14026,12
12312440,12440,12
12335746,35746,12
12343038,43038,12
1238633,8633,12
12346613,46613,12
12343997,43997,12
12318767,18767,12
12347921,47921,12
12337353,37353,12
12329913,29913,12
12332174,32174,12
12318656,18656,12
12343918,43918,12
12348800,48800,12
12347918,47918,12
12237443,37443,12
12349047,49047,12
12347922,47922,12
12249707,49707,12
12318428,18428,12
12337375,37375,12
12343514,43514,12
1238628,8628,12
12343216,43216,12
12343921,43921,12
12336088,36088,12
12335699,35699,12
12348959,48959,12
12318435,18435,12
12337351,37351,12
12346942,46942,12
12348955,48955,12
12348999,48999,12
12318171,18171,12
12335697,35697,12
12345073,45073,12
12336089,36089,12
12342142,42142,12
12237428,37428,12
12344343,44343,12
12335743,35743,12
12335742,35742,12
12322630,22630,12
12248968,48968,12
12348117,48117,12
12349720,49720,12
12327066,27066,12
12346847,46847,12
122601,601,12
12335696,35696,12
12346798,46798,12
12318622,18622,12
12237427,37427,12
12348474,48474,12
12335700,35700,12
12318430,18430,12
12344077,44077,12
12335695,35695,12
122582,582,12
12346799,46799,12
12345080,45080,12
12345190,45190,12
12318431,18431,12
12337586,37586,12
12336092,36092,12
12346848,46848,12
12343622,43622,12
12237431,37431,12
12346800,46800,12
12343189,43189,12
12348121,48121,12
12346826,46826,12
12237426,37426,12
12318436,18436,12
12337416,37416,12
12344081,44081,12
12337583,37583,12
12342171,42171,12
12346829,46829,12
12338753,38753,12
12345189,45189,12
12345687,45687,12
12335701,35701,12
12335698,35698,12
12348125,48125,12
12318770,18770,12
12337355,37355,12
12336093,36093,12
12237349,37349,12
12243057,43057,12
12343998,43998,12
12344818,44818,12
12338758,38758,12
12337417,37417,12
12345685,45685,12
12335747,35747,12
12215657,15657,12
12349706,49706,12
12237423,37423,12
12349002,49002,12
12345684,45684,12
12237484,37484,12
12337512,37512,12
12345577,45577,12
12348963,48963,12
12337356,37356,12
12348115,48115,12
12337444,37444,12
12318427,18427,12
12318429,18429,12
12349721,49721,12
12348978,48978,12
12343059,43059,12
12348122,48122,12
12337441,37441,12
12345679,45679,12
12349705,49705,12
12335744,35744,12
12241133,41133,12
12343812,43812,12
12344337,44337,12
12237569,37569,12
12343092,43092,12
12341140,41140,12
12337517,37517,12
12345682,45682,12
12237429,37429,12
12237374,37374,12
15341040,41040,15
12337352,37352,12
12342145,42145,12
12348259,48259,12
12237394,37394,12
12338754,38754,12
12344234,44234,12
12343091,43091,12
12349719,49719,12
12337384,37384,12
12318637,18637,12
12346828,46828,12
12344317,44317,12
12237432,37432,12
